"Name","Spin","Remnant Mass","Nu0","Nu1","Nu2","Nu3","Nu4","Nu5","Nu6","Nu7"
1,0.686461676493,0.951609417715,-2.7175765843237345-0.4171479052241178*I,-2.601349820886653-0.47282945519594455*I,-2.9620814784945995-0.7248180465430174*I,-3.3132875614901827-0.8220940681387903*I,-3.653456129121458-0.8615767716821121*I,-3.978567365594217-0.8964714623112283*I,-4.326007766619178-0.9497815792509873*I,-4.70469206828828-0.9966905229703698*I
2,0.686447876542,0.951609624635,-2.7175670695098977-0.4171206875170917*I,-2.6013873446907256-0.47282358215211884*I,-2.9620989707146803-0.724805262839624*I,-3.3133027104823976-0.8220796218871035*I,-3.6534724494900845-0.8615621060152444*I,-3.9785881281287003-0.8964559255525335*I,-4.326032320612391-0.9497634807743178*I,-4.704719590509717-0.9966708900445717*I
3,0.691447175396,0.951082695452,-2.7209186373783454-0.4271491547240836*I,-2.587493712121607-0.4752979810574514*I,-2.955696664146421-0.7294930454604407*I,-3.3077647252704696-0.8273526460522397*I,-3.647516214237792-0.8669006312058302*I,-3.9710021464986363-0.9020955395711143*I,-4.317053826924645-0.9563387262290597*I,-4.694653792061959-1.003806517054156*I
7,0.664090940995,0.955269623847,-2.7005416973113436-0.3767215337097096*I,-2.655738140348095-0.468372622345477*I,-2.9891827504217083-0.7051432460389632*I,-3.336903394386451-0.7994174486332462*I,-3.6790686577636347-0.8382807488163903*I,-4.010999243584788-0.8715151686795418*I,-4.364236908811401-0.9208066252557325*I,-4.747501639179987-0.9653076988827205*I
8,0.664090718508,0.955267129967,-2.7005415149090806-0.3767211706706886*I,-2.6557386174619966-0.4683726144969622*I,-2.989183007927212-0.7051430601263946*I,-3.3369036203440054-0.7994172300884973*I,-3.679068904377239-0.8382805216249982*I,-4.01099955444754-0.8715149228040314*I,-4.364237274090775-0.9208063406141024*I,-4.747502047787467-0.9653073910056282*I
15,0.674831060007,0.954807164156,-2.7090854910122832-0.3951757287003275*I,-2.631247430695825-0.46943900457190285*I,-2.9764788935191744-0.7143361657397581*I,-3.325794557798481-0.8101244842065598*I,-3.6669791941293126-0.8493492189068531*I,-3.99572814552954-0.8834386214785613*I,-4.346266563096228-0.9346277367874478*I,-4.727389011345739-0.9802660211828953*I
17,0.678118403751,0.954712534693,-2.7115760865482774-0.401184467427043*I,-2.6231534737193662-0.47011262866583964*I,-2.972478608833856-0.7172409606499814*I,-3.3223114003151912-0.8134667434830241*I,-3.663203402091433-0.852778935996934*I,-3.990945224423989-0.8871097014832271*I,-4.340627257081433-0.9388908867498128*I,-4.721073299525021-0.9848839110438088*I
18,0.674799298136,0.954800263258,-2.70906110965733-0.39511847514158516*I,-2.631324251026471-0.4694334252818609*I,-2.9765172833296325-0.7143083147585342*I,-3.3258280174003896-0.8100923443776912*I,-3.6670155000032625-0.8493161797015572*I,-3.995774103789739-0.8834032009061266*I,-4.346320724316163-0.9345866227000396*I,-4.727449659842575-0.9802214956658982*I
22,0.716692284652,0.949928425988,-2.7346504068239983-0.4823680600477513*I,-2.5107654762883107-0.5012523721954852*I,-2.9212621500934537-0.7550670268854905*I,-3.278149075682654-0.8552952261729633*I,-3.6160292852874973-0.8947187887901574*I,-3.930602704605064-0.9308964421851643*I,-4.268974610588591-0.9901347968858415*I,-4.640698692171035-1.0405913780741018*I
23,0.675278799314,0.953512795609,-2.7094285588623683-0.3959844641633475*I,-2.6301617001751163-0.46951946878118694*I,-2.9759371939898434-0.7147292078458906*I,-3.3253224930423175-0.8105778601355038*I,-3.6664670436506657-0.8498151631569251*I,-3.995079769395418-0.8839380364133431*I,-4.345502407897549-0.9352074660269836*I,-4.726533309124978-0.9808938726925411*I
24,0.6802009504,0.955006523132,-2.7131186171261734-0.40507481904417253*I,-2.617879399209364-0.47064584868300063*I,-2.9699165368916645-0.7191043127102081*I,-3.3200839507396913-0.8156004898482636*I,-3.660792667737804-0.8549622443434424*I,-3.987888032498381-0.8894405125111311*I,-4.33701984703062-0.9415997131902372*I,-4.71703224338592-0.9878192103936639*I
25,0.738441999382,0.950372504154,-2.742029117168681-0.5348735624718377*I,-2.444513457256241-0.5438387057091328*I,-2.8885391841544266-0.7800744428079723*I,-3.2501011376570155-0.8814023135191161*I,-3.586850597403762-0.920061606928378*I,-3.8926965285309802-0.9560723912625193*I,-4.223388576162128-1.0200867746508586*I,-4.58949196590311-1.0733899542646204*I
27,0.673303593222,0.954487777116,-2.707906383371959-0.3924399434335804*I,-2.6349119152346505-0.46918943444107275*I,-2.9783195081072065-0.7130013660265025*I,-3.3273995073813487-0.8085821094016382*I,-3.6687214162056145-0.8477624273913358*I,-3.9979328867421624-0.8817362669509389*I,-4.348864272048137-0.9326521458792273*I,-4.730297667086275-0.9781267097715971*I
