"Name","Spin","Remnant Mass","ExF0","ExF1","ExF2","ExF3","ExF4","ExF5","ExF6","ExF7"
1,0.686461676493,0.951609417715,0.012026758147455838+0.17520662282179722*I,0.28794827488951064-1.0600374962265215*I,-2.171193683445531+3.8155860499565897*I,9.082130082422879-10.948898227389087*I,-25.3641845845527+27.47021780969979*I,50.18784451058897-52.14158741148553*I,-87.08873119022539+69.03629238006059*I,144.22301304185214-60.44860003983938*I
2,0.686447876542,0.951609624635,0.01204355470748826+0.17519613472647716*I,0.28779974328905533-1.0599941370848918*I,-2.170466204107319+3.815538592601145*I,9.07943056483876-10.949105383099711*I,-25.356572943446135+27.470844469125996*I,50.172401994848734-52.143744973552906*I,-87.06785238472577+69.04337584686279*I,144.199343535512-60.46737935661555*I
3,0.691447175396,0.951082695452,0.005726139045933734+0.17892479777445436*I,0.3429488710724939-1.0748850061539204*I,-2.440986957663593+3.8252485341969424*I,10.080448333005243-10.838253634041962*I,-28.215636263335465+27.14787168927266*I,55.83897783929677-51.39348728112317*I,-95.72342747840594+66.17707454080447*I,155.1991856897023-52.00467147646005*I
7,0.664090940995,0.955269623847,0.03582463337543235+0.15742849553948296*I,0.07786998092538372-0.973571002176024*I,-1.1307264080311292+3.6250771175154033*I,5.231785156854775-10.755330344297398*I,-14.56788475922683+26.931395778681154*I,28.748192410151923-51.44470718164807*I,-53.03391266965554+73.90249553256149*I,97.19759407377632-83.45429236576499*I
8,0.664090718508,0.955267129967,0.03582487590938944+0.15742835760037005*I,0.07786808122284039-0.9735692110077372*I,-1.1307190520321104+3.6250744409714484*I,5.231756259809013-10.755321877151154*I,-14.567754720800963+26.931333132916777*I,28.748010324599818-51.44506054514369*I,-53.03459843139641+73.90301425822389*I,97.19604335598513-83.45758858673135*I
15,0.674831060007,0.954807164156,0.025270892554488257+0.16613115727160732*I,0.17149094235698636-1.0184598812706533*I,-1.5961181919315113+3.7422362747840814*I,6.952538480565439-10.96874189907824*I,-19.352160401632215+27.531199051819495*I,38.256044135978364-52.47929397427239*I,-68.38894562972841+72.98036133558445*I,119.10795462017295-75.13893803509086*I
17,0.678118403751,0.954712534693,0.021726482114405726+0.1687426906676055*I,0.20276721140604043-1.0310707192625572*I,-1.7510284099351692+3.7693687856770053*I,7.526098812820038-10.993121483707716*I,-20.961857920758067+27.599917250352334*I,41.452281980559235-52.55951570747126*I,-73.46179416701999+72.21284967578353*I,126.09060847117652-71.64240534759651*I
18,0.674799298136,0.954800263258,0.02530438020556719+0.16610578652664293*I,0.17119458379996744-1.0183351717011426*I,-1.5946491473419828+3.741951645992345*I,6.947101003716017-10.968398485813914*I,-19.337005559888638+27.530251106325007*I,38.22567251650373-52.478103741113635*I,-68.34190769318923+72.9871116629425*I,119.04089850855796-75.17095891286921*I
22,0.716692284652,0.949928425988,-0.03254679625943689+0.1950465772729303*I,0.6711201878969313-1.1094855899820955*I,-4.0181066400045085+3.590039449569032*I,15.856629840926704-8.942757084685514*I,-45.11384067249695+21.481510825000832*I,89.21430016887324-39.47115495494788*I,-143.515229935506+37.07081515670076*I,207.20322243615294+15.086181310723347*I
23,0.675278799314,0.953512795609,0.02479710270082723+0.16648860749218578*I,0.17567613520462516-1.0202138428403649*I,-1.6168669319893312+3.7461985014215027*I,7.02934174719552-10.97330918732833*I,-19.567335121225334+27.544123393582158*I,38.68301631438934-52.497660444803294*I,-69.07080051753397+72.89116325441435*I,120.04959283743494-74.68904120162728*I
24,0.6802009504,0.955006523132,0.019401428503072818+0.17038011374779016*I,0.22324168736065408-1.0387308755454607*I,-1.852254985069674+3.7840910461706825*I,7.9010066305057975-10.997047487431722*I,-22.017702957254915+27.610601413853686*I,43.548696207936814-52.543387568334204*I,-76.76428438906566+71.59217008785085*I,130.57623359662162-69.16650231206322*I
25,0.738441999382,0.950372504154,-0.07494437669925559+0.20278742842046138*I,1.0207529872689018-1.0562482838756937*I,-5.610052440033759+2.8319972477258406*I,21.42129718628197-4.70200311333617*I,-62.04653198183675+8.265140713055555*I,122.47579703655727-12.608506736251577*I,-184.35134637624665-15.151067212353212*I,232.15550137052955+112.02150959860491*I
27,0.673303593222,0.954487777116,0.026866338506403083+0.16490774257566346*I,0.15738514512274243-1.0124023294750217*I,-1.5261547771290784+3.7281095218453375*I,6.693577624231082-10.950289070010028*I,-18.627872799901507+27.479173368807754*I,36.81699864909334-52.4006828223349*I,-66.09300997852742+73.2520252787326*I,115.89628215656808-76.6070228847905*I
29,0.677766514495,0.953643759562,0.022113221592252902+0.16846463333103168*I,0.19935877126495577-1.0297509201700519*I,-1.7341618783308304+3.766683797616732*I,7.4636432813016835-10.991560789132544*I,-20.78617365554681+27.59552040815992*I,41.10366669286119-52.5570836174943*I,-72.91128793217624+72.30654845923361*I,125.34145452630253-72.03841386700239*I
33,0.732878790955,0.962102844741,-0.06322113821669549+0.2015665518864913*I,0.9257379405303379-1.0795810458819246*I,-5.188946447223043+3.0889137032369316*I,19.992177076353904-6.081222877674829*I,-57.63499611696689+12.628083661936053*I,113.82229141530614-21.41975000269037*I,-174.56227928836725+1.159892754233013*I,228.94224098440876+83.49776910301473*I
43,0.731014823962,0.962298174118,-0.059429943686178266+0.20102715776315222*I,0.894724797864611-1.0857587419079644*I,-5.0494594289417964+3.164484656851446*I,19.510660874787895-6.494377467677729*I,-56.15850157861324+13.923741971439965*I,110.92446482021842-24.04457071382636*I,-171.1361206322975+6.141464325011114*I,227.28369837427388+74.52036701549997*I
45,0.741007150125,0.96280376568,-0.0805566158077822+0.20313850270687298*I,1.065746386748462-1.042851344014727*I,-5.805917786590431+2.696789839167789*I,22.071463123254134-3.988442551244267*I,-64.06809059956355+5.986236856119126*I,126.44058707427942-8.020299913889517*I,-188.58671449812584-23.42943642267636*I,232.6522539497902+126.02066890769518*I
61,0.706509267887,0.974833355856,-0.01577096925284878+0.18921242181486497*I,0.5285874306968903-1.1051359097639402*I,-3.3408850611919076+3.75107572652716*I,13.394288719588875-10.018526485677892*I,-37.82711048480914+24.723976234674844*I,74.84783987367506-46.200932968028184*I,-123.64591196821225+52.16389946957289*I,187.62783774481377-17.31907484546896*I
65,0.657386842854,0.984630094446,0.04166355594925535+0.1519163593860519*I,0.025745487425620273-0.9433245460654867*I,-0.8706775524390216+3.5339815688236302*I,4.2730137545088835-10.53769177097132*I,-11.932629856966274+26.324541263310692*I,23.50865450375234-50.318816482047076*I,-44.39937439207665+73.45229282723439*I,84.39556561428579-86.54936582192838*I
66,0.686460407304,0.951609426767,0.01202825382617742+0.1752056129861286*I,0.2879346756084608-1.0600333090303609*I,-2.171127463423541+3.815581648050031*I,9.081873776368713-10.948921995147582*I,-25.36357031111776+27.470269455201546*I,50.186490118328216-52.14223562040901*I,-87.0884714225748+69.03438107753486*I,144.22149853851099-60.447586887446604*I
67,0.686467942181,0.951606709,0.01201906350679302+0.1752112916942909*I,0.2880155628335614-1.0600574432834056*I,-2.1715235973036195+3.815605087388749*I,9.08334775273656-10.948805290264033*I,-25.367663042636494+27.46993405902426*I,50.19472237480872-52.141202871697196*I,-87.10150843749182+69.03243043348036*I,144.24303730748645-60.433367163109025*I
68,0.686467572565,0.951604370214,0.012019515698639932+0.1752110485845213*I,0.2880110805322685-1.0600558550084784*I,-2.171504261760105+3.8156021659476114*I,9.08327608530908-10.948799054256325*I,-25.367476927035145+27.4699811306279*I,50.19427304963844-52.14132411324131*I,-87.10173227361763+69.03373678509404*I,144.23606932776045-60.43603851860301*I
69,0.686457993436,0.951633629834,0.012031192727814818+0.17520374457597715*I,0.28790827142975683-1.0600266797129372*I,-2.170998878294006+3.8155707253817344*I,9.081409687926886-10.948958101312591*I,-25.362186345441888+27.470365662085776*I,50.18380653588147-52.14253036526706*I,-87.08376009132672+69.03778025124635*I,144.22297432305984-60.448490037777525*I
70,0.686459511967,0.95160928413,0.012029379927879419+0.1752049503106808*I,0.287925009107467-1.0600308628267874*I,-2.1710808143707667+3.8155779220952564*I,9.08169400085557-10.948923177740825*I,-25.363019381942475+27.470310516417914*I,50.185497066413696-52.14202220372303*I,-87.08785678269847+69.03622817556246*I,144.2220584513319-60.44617911704921*I
71,0.686459152272,0.951609310651,0.01202976131334886+0.17520464885306847*I,0.2879208784721053-1.0600293554643394*I,-2.171061540444324+3.815575452772819*I,9.081638751169752-10.948939714253482*I,-25.362842982156085+27.47035701524657*I,50.18517941475559-52.14209801943282*I,-87.08576376793155+69.0366672903466*I,144.21381404506567-60.454262842526354*I
72,0.686458992376,0.951609758808,0.012029933556105404+0.17520453225114066*I,0.28791940689058076-1.0600283449585013*I,-2.1710533357509276+3.8155792240689093*I,9.081599705816776-10.94893211705565*I,-25.362741370832953+27.47035014377428*I,50.18483340097251-52.14209056431001*I,-87.08520706816667+69.03661978521008*I,144.22169971765433-60.453404878483184*I
73,0.686451717173,0.951608554954,0.012038916411628867+0.17519903615727322*I,0.28783986997119443-1.0600068420856061*I,-2.1706701369628503+3.8155510929454364*I,9.080189583217068-10.949049317824102*I,-25.358636225073447+27.470636724129978*I,50.176957467502234-52.143001879741384*I,-87.07378847395299+69.04002720802173*I,144.20383085513686-60.45528745141949*I
74,0.686567262094,0.951601605346,0.011897264324785009+0.17528660791186815*I,0.2890809482722284-1.060371671996906*I,-2.1767628655385978+3.8159392727961468*I,9.102740605929636-10.947254561921929*I,-25.422902085843212+27.46545925008995*I,50.304155758910674-52.1302199588047*I,-87.26976108469214+68.98252498559091*I,144.45471154305875-60.27979157984414*I
75,0.678111539859,0.954708559379,0.021734076313099884+0.16873726220073218*I,0.20270017275725472-1.0310463197398863*I,-1.7506961453729126+3.7693149123535616*I,7.524881977240369-10.993091689405686*I,-20.95832361292291+27.59983099798446*I,41.4451977017521-52.55954878838293*I,-73.45277006752913+72.21401529141284*I,126.07516369862292-71.651997200563*I
76,0.677929076438,0.954651450415,0.021934726247322178+0.16859315541411402*I,0.20093178218776336-1.0303608612420947*I,-1.7419447968308495+3.7679277644059663*I,7.492471507616505-10.99231515431631*I,-20.867219475346204+27.597659309127557*I,41.26455984897771-52.55866233675206*I,-73.16447979292639+72.263050620662*I,125.68909008189371-71.85210953210154*I
77,0.675737928905,0.954056635034,0.02430827801370758+0.16685464158143068*I,0.17999385274408986-1.0219978566842127*I,-1.6382585909597687+3.750175579994991*I,7.108532179373434-10.977594551854185*I,-19.78928950330603+27.556249651439785*I,39.12396464822537-52.51407876425901*I,-69.77174290706434+72.79383085200733*I,121.02147078118934-74.22177536123752*I
78,0.675679842865,0.954059239805,0.024370288399177584+0.16680837724203867*I,0.17944521691789428-1.0217735030805124*I,-1.6355455373963157+3.7496765747362133*I,7.098511244016059-10.977080712920822*I,-19.761128321176532+27.554739654917967*I,39.06795260955781-52.5121908700604*I,-69.68383256875599+72.80577952607784*I,120.90371821554473-74.28184950924957*I
79,0.67814723787,0.954720001785,0.02169474237420929+0.16876548543101794*I,0.20304752154474742-1.031178647532119*I,-1.7524131599059172+3.7695827982508807*I,7.531234822598282-10.993236121966412*I,-20.976215640365854+27.60027107892813*I,41.48074811537442-52.55975981175859*I,-73.50786495690693+72.20491003133101*I,126.16342777085288-71.60283843548284*I
80,0.678279448592,0.954764689507,0.021548971413680104+0.16886979712286462*I,0.2043320436164437-1.0316728549752285*I,-1.758770495326281+3.7705790430004438*I,7.554769901546784-10.993753329332245*I,-21.04243178320556+27.60169732466257*I,41.61251281781685-52.56035974555566*I,-73.71654167236576+72.16837086700563*I,126.4370723103363-71.45264480497266*I
81,0.677262429515,0.954557193985,0.022664086844467857+0.1680657047719057*I,0.19450102085304738-1.027845003228654*I,-1.7101200616262178+3.762748468329283*I,7.374608836904569-10.98885758918184*I,-20.535991806528397+27.587975484181108*I,40.60659586701057-52.551000652698676*I,-72.12464327367285+72.43589358416332*I,124.2721495232826-72.59788663697306*I
82,0.677609025999,0.954835316158,0.022285653977913933+0.1683400551206686*I,0.19783738736376938-1.0291569496946358*I,-1.7266325361172838+3.7654670085182858*I,7.435770137254048-10.990765368280167*I,-20.707822963066082+27.593332574162005*I,40.948062230355475-52.55545576678453*I,-72.66454963956426+72.34765295698143*I,125.0083582446582-72.20766176014698*I
86,0.686459673133,0.951609387939,0.012029106968627537+0.1752050870303267*I,0.2879264251443108-1.0600312599285884*I,-2.17108906173063+3.815575977159613*I,9.081741451562873-10.948931341918918*I,-25.363084873670328+27.470293733838755*I,50.1857941557727-52.1419877528385*I,-87.0860695189896+69.03775605193054*I,144.21882932189175-60.45012734765614*I
87,0.686359631503,0.951636784124,0.01215162423533378+0.17512920747460312*I,0.28685508803410276-1.0597118937080763*I,-2.1658195399246636+3.81523686095842*I,9.062223520804078-10.950451825225846*I,-25.307635614211552+27.474757529487725*I,50.0753627181722-52.153171897251354*I,-86.91764568444685+69.08770488519892*I,144.00157288065603-60.60069280952867*I
88,0.691359445076,0.951115894558,0.005840381902947764+0.17886038831842793*I,0.34195394100496374-1.0746419509395517*I,-2.4361179379209816+3.825206591513253*I,10.062456355174158-10.840813291438346*I,-28.16401932958915+27.155268511004312*I,55.73700513484956-51.41032667403253*I,-95.5680983486518+66.23419749787422*I,155.00821852280245-52.17163511192275*I
90,0.686441602806,0.95160901398,0.012051287306207484+0.17519135347200784*I,0.2877331197771447-1.059973932544066*I,-2.1701357760460147+3.8155131734410426*I,9.078216208833393-10.949211088239249*I,-25.353086110117058+27.471110689101803*I,50.165686847876565-52.14409169389185*I,-87.0571849645424+69.04559514887438*I,144.18557412497674-60.47505023243403*I
91,0.686512258247,0.95158562927,0.011964704227562906+0.17524491423991045*I,0.28849023270283725-1.0601964622102367*I,-2.1738600080324693+3.815751591024397*I,9.091998454265648-10.948118302348341*I,-25.392287943212402+27.46788736272453*I,50.24383244995683-52.13644338691867*I,-87.17628549662679+69.01038095090918*I,144.3332451281647-60.37082847838958*I
93,0.66400299712,0.955223400839,0.03590493829675962+0.15735648179155964*I,0.07715534636277932-0.973183904676254*I,-1.1271675626720614+3.6239622079096687*I,5.218651244360528-10.75284968860136*I,-14.531612967480914+26.924388826078918*I,28.67590461189055-51.43236564999831*I,-52.91599163468023+73.90080537186019*I,97.0285330492641-83.51070274317675*I
94,0.678192700747,0.954690738695,0.021644594455873287+0.16880136860186268*I,0.2034886729348706-1.0313487605492109*I,-1.7545972001464591+3.7699250909299504*I,7.539323083705572-10.993420203672601*I,-20.99897032975083+27.60076618970881*I,41.52619900436459-52.56009433299043*I,-73.57889159655124+72.19305539176341*I,126.25439965880793-71.54773753260727*I
95,0.678122991308,0.954701570676,0.021721419206939735+0.16874630602222557*I,0.20281170864530218-1.0310878305032074*I,-1.751248026637676+3.7694017416233656*I,7.526918450814468-10.993146307978828*I,-20.96406939920791+27.599955814109467*I,41.45664951310815-52.56005994020709*I,-73.46932064150256+72.21107022410924*I,126.11066754014172-71.63382999831367*I
96,0.678145850458,0.954711509727,0.021696254332098014+0.16876438143731792*I,0.20303384555622173-1.0311736695437523*I,-1.7523458404089407+3.7695733080466436*I,7.530984520020035-10.99323312155777*I,-20.97553049143554+27.600266876779326*I,41.47950328111846-52.55967938320127*I,-73.50487091579163+72.20371984415985*I,126.15116883787444-71.60911796716437*I
97,0.677470947463,0.954734679207,0.02243665920093725+0.1682308177969441*I,0.19650673764359877-1.0286356899533922*I,-1.7200463443528164+3.7643916235544035*I,7.411376869631967-10.99003502928212*I,-20.639271441404155+27.59127227939158*I,40.81178475256701-52.55407178516967*I,-72.44865388840046+72.38389294601014*I,124.7092697260872-72.3633864142359*I
98,0.675022331664,0.954547791405,0.025068788112859938+0.16628392124937705*I,0.17327573605302388-1.0192102862588817*I,-1.6049686636839362+3.7439383030369253*I,6.985298640201498-10.970734126862776*I,-19.443929169065257+27.536852986089023*I,38.43805206024791-52.487315354567095*I,-68.67998966579074+72.94228795475594*I,119.51965175535558-74.95012717567622*I
99,0.672566803956,0.95410326802,0.027624334516981763+0.16431561749646284*I,0.15067651696962386-1.009436967647562*I,-1.4928598121077639+3.7209695537424*I,6.570369646272599-10.939869590703527*I,-18.283827765066718+27.44976527099076*I,36.13346537040158-52.35407487421214*I,-64.99732528528777+73.36663027111958*I,114.36033599267174-77.2767179133164*I
100,0.664082535379,0.955249458801,0.035832278157806347+0.1574216650689159*I,0.07780240336859551-0.973533005012819*I,-1.1303865123193304+3.624969897315833*I,5.230525986420483-10.755095397606677*I,-14.564402297912721+26.930703863729136*I,28.74109420069929-51.44358449559017*I,-53.022021129363864+73.90070641953467*I,97.17367838750461-83.45811996905884*I
102,0.677885047044,0.953667711242,0.021983205126386393+0.16855833843511053*I,0.2005055691582599-1.0301957855743957*I,-1.7398344265814372+3.76759780197218*I,7.484655368821965-10.992109063886842*I,-20.845215635054828+27.59704155977862*I,41.220891786496196-52.5582086020565*I,-73.09663424343776+72.27498568045465*I,125.59617071848032-71.90538583200336*I
103,0.672812339103,0.954185063873,0.02737260741068081+0.16451313634952008*I,0.15290482359292562-1.0104282047578095*I,-1.5039244176325148+3.7233762349887196*I,6.611305755176977-10.94344399730528*I,-18.398136887960867+27.459896514477734*I,36.36034557249467-52.3701692524081*I,-65.36053081676425+73.32880438003858*I,114.87222627565207-77.05573604554513*I
110,0.706723986694,0.974853720523,-0.016105520819602884+0.18934625442523076*I,0.5314496289872628-1.1053785318692695*I,-3.3546158785680182+3.748708068852993*I,13.444550409014688-10.0006618122392*I,-37.97457716810617+24.670639976544383*I,75.13886575241304-46.089108611218606*I,-124.05837923731804+51.896176437944256*I,188.06610375459363-16.71381817840735*I
115,0.693575077807,0.950703430117,0.0029174000487560553+0.18047142431613827*I,0.3673847572605099-1.080572361331238*I,-2.560425720844287+3.824717944321754*I,10.521963147741504-10.769190516949086*I,-29.48326838128592+26.94580177574489*I,58.34999907127795-50.94363855642958*I,-99.51021587316114+64.71364406415474*I,159.8845124408324-47.98229311488258*I
116,0.705593984342,0.949820616402,-0.014354341311420452+0.18863737832137872*I,0.5164538266911787-1.104035777899795*I,-3.282639853038021+3.7607145845678303*I,13.18094849898019-10.09246168337566*I,-37.20159783949949+24.94455970392302*I,73.61253520484176-46.66415900766489*I,-121.8860066887572+53.27760519912551*I,185.73856621826587-19.853166660745288*I
117,0.672131349549,0.953078682643,0.028068948717062343+0.16396513223496534*I,0.14674026183672667-1.0076729032815066*I,-1.4733230318196915+3.7166547180182326*I,6.498075367753252-10.933240898675141*I,-18.082085783817337+27.43113130344178*I,35.732595627235916-52.32374855914915*I,-64.35443246211545+73.42901987211847*I,113.45390344780084-77.66427684018731*I
119,0.730920406267,0.947513035592,-0.05923966244070328+0.2009982305794249*I,0.8931655998128578-1.0860516976235057*I,-5.042416841425043+3.168173417768702*I,19.48625767850559-6.514686908845584*I,-56.083819417771956+13.987261954248842*I,110.7780447808154-24.17306912246284*I,-170.96264644834469+6.388526185137366*I,227.19392948092016+74.06063227908696*I
120,0.675029546763,0.953193705146,0.025061166521876205+0.16628970203264157*I,0.17334308289357486-1.019239820910438*I,-1.605301889793156+3.7440010935077987*I,6.986534647123781-10.97081347639858*I,-19.44740287347401+27.537096588878942*I,38.44481720352942-52.487774542160025*I,-68.69062591395844+72.93955032603536*I,119.52555439553856-74.941480532195*I
121,0.711360343885,0.949652776525,-0.023528123441492424+0.19212809614783777*I,0.5947606367732624-1.1090974417423363*I,-3.6569706432721065+3.6871739459923005*I,14.548088986715797-9.566323912174*I,-41.22613792419325+23.368093273161584*I,81.55387620766459-43.37214881363461*I,-133.06152846856946+45.61158122748725*I,197.33086949300446-2.848182924130974*I
