Name,Spin,Remnant Mass,N=0,N=1,N=2,N=3,N=4,N=5,N=6,N=7
0001,0.686461676493,0.951609417715,(0.5267036313744298-0.08128835787167508j),(0.5148595293093348-0.2458130126050275j),(0.49296439798975344-0.4151356821885927j),(0.4638659719550857-0.5887313443566251j),(0.4329138224213516-0.7603515707841525j),(0.4155480560026965-0.9276330415608491j),(0.4148266113601496-1.1075000946949884j),(0.4159361282067855-1.3011655058672065j)
0002,0.686447876542,0.951609624635,(0.5266977465897584-0.0812888449686013j),(0.5148532368647842-0.24581456478512628j),(0.4929574623581705-0.4151385284679407j),(0.463858507551746-0.5887357603974885j),(0.4329063262254302-0.7603581383813025j),(0.4155400864554846-0.9276427050770483j),(0.41481753000574206-1.1075121395128935j),(0.41592647645234737-1.301179490610813j)
0003,0.691447175396,0.951082695452,(0.5288461076660128-0.08111004067214642j),(0.517149908127362-0.24524535039623196j),(0.49548841586001724-0.4140965350934624j),(0.4665822603292129-0.5871228869500906j),(0.4356375630658224-0.7579642428648188j),(0.4184385866814766-0.9241147580845124j),(0.4181232323543501-1.1031118731485468j),(0.4194407414013414-1.2960696961633815j)
0007,0.664090940995,0.955269623847,(0.5174781897504186-0.08203387937461241j),(0.5049852223132707-0.2481993701249701j),(0.4820710706372591-0.4195456470738743j),(0.45213608329871563-0.5956436065652677j),(0.42105741056768736-0.7707124200109137j),(0.4028555779903893-0.9427807104465692j),(0.4004105355010637-1.126329057331742j),(0.4006301860165531-1.3230091089362364j)
0008,0.664090718508,0.955267129967,(0.5174781009992436-0.08203388637269662j),(0.504985127223275-0.24819939263290197j),(0.4820709656328672-0.4195456890091642j),(0.45213597014886636-0.5956436729776435j),(0.421057295461928-0.7707125202800023j),(0.40285545399550904-0.9427808561579614j),(0.40041039507508247-1.1263292379818655j),(0.4006300370581554-1.3230093183156084j)
0015,0.674831060007,0.954807164156,(0.5218305089047635-0.08168667138943707j),(0.5096461306962052-0.24708522418292797j),(0.4872155049380469-0.4174779691446589j),(0.4576774194249767-0.5923849995642542j),(0.4266775827736623-0.7658086694009438j),(0.4088927931535866-0.9356348214846748j),(0.4072565671800689-1.1174590364532848j),(0.407895133994963-1.3127237092738793j)
0017,0.678118403751,0.954712534693,(0.5231905747934442-0.08157652016814704j),(0.5111017144238966-0.24673279520279223j),(0.488821139738285-0.41682717943568665j),(0.4594061768029648-0.5913658881815766j),(0.4284239599179504-0.7642819535807174j),(0.4107614262924944-0.9334016547664254j),(0.4093794047406304-1.1146825567050667j),(0.41014916055805667-1.3095023646872652j)
0018,0.674799298136,0.954800263258,(0.5218174331899141-0.08168772656901219j),(0.5096321345828428-0.2470886025578314j),(0.4872000638937791-0.4174842149764809j),(0.4576607928293328-0.5923947952599975j),(0.42666077056029045-0.7658233607008658j),(0.4088747863344299-0.9356562908809322j),(0.40723612016464666-1.117485718569827j),(0.4078734265128143-1.3127546625700044j)
0022,0.716692284652,0.949928425988,(0.5402310521317262-0.08012967932554439j),(0.5293040994521906-0.24214249718106964j),(0.5088684375831846-0.4084741304229986j),(0.4809831462365392-0.5785458848587263j),(0.44994348986270427-0.7454131205761718j),(0.43342401722887225-0.9054176017227584j),(0.4353216618127812-1.0796843451124212j),(0.4377589619668196-1.2688427400153885j)
0023,0.675278799314,0.953512795609,(0.5220149658438129-0.08167177839970552j),(0.5098435672955666-0.2470375459575838j),(0.4874333201531121-0.41738983821831244j),(0.4579119551304093-0.5922468092034339j),(0.42691470403710996-0.7656014487060538j),(0.4091467278294319-0.9353319556046855j),(0.40754493266852904-1.1170826139923027j),(0.4082012822023469-1.3122870221972383j)
